150.0000,0.2364,0.2373,0.2374,0.2395,0.2414,0.2432,0.2434
155.0000,0.2369,0.2371,0.2378,0.2397,0.2418,0.2434,0.2439
160.0000,0.2368,0.2375,0.2378,0.2401,0.2418,0.2441,0.2433
165.0000,0.2367,0.2377,0.2380,0.2404,0.2423,0.2441,0.2442
170.0000,0.2372,0.2375,0.2384,0.2405,0.2427,0.2442,0.2447
175.0000,0.2372,0.2378,0.2386,0.2410,0.2428,0.2449,0.2441
180.0000,0.2370,0.2382,0.2387,0.2413,0.2432,0.2450,0.2449
185.0000,0.2376,0.2380,0.2392,0.2414,0.2436,0.2450,0.2454
190.0000,0.2377,0.2384,0.2394,0.2419,0.2437,0.2457,0.2448
195.0000,0.2377,0.2387,0.2396,0.2422,0.2441,0.2457,0.2456
200.0000,0.2372,0.2393,0.2397,0.2425,0.2443,0.2458,0.2461
205.0000,0.2383,0.2391,0.2402,0.2429,0.2444,0.2466,0.2452
210.0000,0.2383,0.2395,0.2405,0.2431,0.2448,0.2465,0.2463
215.0000,0.2379,0.2401,0.2406,0.2435,0.2451,0.2466,0.2469
220.0000,0.2390,0.2399,0.2410,0.2438,0.2451,0.2474,0.2460
225.0000,0.2391,0.2403,0.2414,0.2440,0.2455,0.2472,0.2472
230.0000,0.2390,0.2407,0.2417,0.2443,0.2458,0.2473,0.2478
235.0000,0.2399,0.2406,0.2422,0.2444,0.2462,0.2475,0.2483
240.0000,0.2399,0.2412,0.2423,0.2449,0.2462,0.2481,0.2481
245.0000,0.2399,0.2416,0.2426,0.2451,0.2465,0.2483,0.2489
250.0000,0.2408,0.2415,0.2431,0.2452,0.2469,0.2485,0.2495
255.0000,0.2409,0.2420,0.2433,0.2456,0.2469,0.2492,0.2493
260.0000,0.2407,0.2426,0.2434,0.2459,0.2472,0.2495,0.2501
265.0000,0.2416,0.2425,0.2439,0.2459,0.2476,0.2498,0.2507
270.0000,0.2418,0.2429,0.2441,0.2463,0.2477,0.2506,0.2505
275.0000,0.2419,0.2433,0.2443,0.2465,0.2482,0.2509,0.2513
280.0000,0.2426,0.2433,0.2448,0.2466,0.2487,0.2511,0.2519
285.0000,0.2427,0.2438,0.2449,0.2470,0.2489,0.2521,0.2514
290.0000,0.2427,0.2442,0.2451,0.2471,0.2495,0.2521,0.2525
295.0000,0.2435,0.2442,0.2456,0.2473,0.2501,0.2524,0.2532
300.0000,0.2436,0.2445,0.2457,0.2477,0.2503,0.2532,0.2527
305.0000,0.2435,0.2450,0.2458,0.2480,0.2509,0.2534,0.2537
310.0000,0.2443,0.2450,0.2462,0.2483,0.2515,0.2536,0.2544
315.0000,0.2444,0.2454,0.2462,0.2488,0.2517,0.2544,0.2540
320.0000,0.2445,0.2457,0.2464,0.2492,0.2522,0.2546,0.2549
325.0000,0.2439,0.2464,0.2465,0.2497,0.2526,0.2549,0.2556
330.0000,0.2452,0.2462,0.2469,0.2502,0.2528,0.2559,0.2548
335.0000,0.2453,0.2465,0.2472,0.2506,0.2534,0.2559,0.2560
340.0000,0.2452,0.2469,0.2474,0.2510,0.2539,0.2562,0.2566
345.0000,0.2460,0.2468,0.2479,0.2515,0.2540,0.2571,0.2557
350.0000,0.2460,0.2471,0.2483,0.2519,0.2546,0.2571,0.2570
355.0000,0.2460,0.2475,0.2487,0.2523,0.2551,0.2572,0.2576
360.0000,0.2468,0.2475,0.2493,0.2526,0.2557,0.2574,0.2581
365.0000,0.2468,0.2480,0.2496,0.2532,0.2559,0.2581,0.2578
370.0000,0.2468,0.2485,0.2500,0.2536,0.2563,0.2582,0.2586
375.0000,0.2477,0.2486,0.2506,0.2539,0.2568,0.2583,0.2591
380.0000,0.2478,0.2491,0.2509,0.2544,0.2569,0.2590,0.2589
385.0000,0.2476,0.2499,0.2512,0.2549,0.2573,0.2592,0.2596
390.0000,0.2487,0.2499,0.2518,0.2552,0.2578,0.2594,0.2602
395.0000,0.2490,0.2504,0.2521,0.2557,0.2578,0.2601,0.2599
400.0000,0.2492,0.2509,0.2526,0.2561,0.2582,0.2602,0.2608
405.0000,0.2500,0.2510,0.2532,0.2563,0.2587,0.2605,0.2615
410.0000,0.2502,0.2517,0.2534,0.2569,0.2587,0.2614,0.2610
415.0000,0.2504,0.2522,0.2539,0.2572,0.2591,0.2615,0.2621
420.0000,0.2513,0.2523,0.2545,0.2574,0.2596,0.2618,0.2628
425.0000,0.2516,0.2528,0.2548,0.2578,0.2597,0.2627,0.2625
430.0000,0.2516,0.2535,0.2551,0.2581,0.2601,0.2630,0.2635
435.0000,0.2525,0.2536,0.2558,0.2583,0.2607,0.2633,0.2643
440.0000,0.2528,0.2541,0.2560,0.2587,0.2608,0.2643,0.2638
445.0000,0.2531,0.2546,0.2563,0.2590,0.2614,0.2645,0.2650
450.0000,0.2527,0.2554,0.2565,0.2593,0.2619,0.2649,0.2660
455.0000,0.2541,0.2554,0.2570,0.2597,0.2622,0.2660,0.2654
460.0000,0.2543,0.2559,0.2573,0.2600,0.2629,0.2661,0.2670
465.0000,0.2544,0.2564,0.2576,0.2603,0.2635,0.2665,0.2682
470.0000,0.2554,0.2565,0.2579,0.2608,0.2638,0.2677,0.2679
475.0000,0.2555,0.2570,0.2582,0.2612,0.2645,0.2679,0.2698
480.0000,0.2555,0.2575,0.2584,0.2616,0.2651,0.2684,0.2716
485.0000,0.2565,0.2575,0.2590,0.2619,0.2658,0.2691,0.2735
490.0000,0.2565,0.2581,0.2590,0.2626,0.2660,0.2706,0.2749
495.0000,0.2564,0.2586,0.2593,0.2632,0.2665,0.2717,0.2774
500.0000,0.2575,0.2585,0.2599,0.2635,0.2673,0.2730,0.2806
505.0000,0.2577,0.2589,0.2602,0.2642,0.2676,0.2753,0.2833
510.0000,0.2574,0.2595,0.2605,0.2647,0.2684,0.2772,0.2881
515.0000,0.2585,0.2595,0.2611,0.2652,0.2691,0.2802,0.2926
520.0000,0.2587,0.2599,0.2615,0.2658,0.2698,0.2841,0.2973
525.0000,0.2588,0.2603,0.2620,0.2662,0.2713,0.2875,0.3052
530.0000,0.2596,0.2604,0.2628,0.2665,0.2731,0.2919,0.3140
